INDEX,DISTRICT,INSTITUTE,DESIGNATION,VACANCIES
23,AMPARA,LAHUGALA MOH,AMOH,1
29,AMPARA,PANAMA DH,MO,1
30,AMPARA,SENARATHPURA DH,MO,1
31,AMPARA,ISENARATHPURA DH,MO MENTAL HEALTH,1
32,AMPARA,TAMPITIYA PMCU,MO,1
33,AMPARA,WEERAGODA PMCU,MO,1
34,ANURADHAPURA,ANDIYAGALA DH,MO,1
47,ANURADHAPURA,KUNCHUKULAM PMCU,MO,1
57,ANURADHAPURA,THANTIRIMALE DH,MO,1
58,ANURADHAPURA,WAHALKADA DH,MO,1
94,BATTICALOA,KATHIRAVELY DH,MO.,1
97,BATTICALOA,MANDUR DH,Mo,1
100,BATTICALOA,NAWALKADU DH,Mo,1
101,BATTICALOA,PALUGAMAM DH,Mo,1
117,GALLE,HALVITIGALA PMCU,MO,4
119,GALLE,LANKAGAMA PMCU,MO,1
126,HAMBANTOTA,BERALIHERA PMCU,Mo,1
140,JAFFNA,ANALATIVU DH,MO,1
151,JAFFNA,KAYTS BH,MO,1
153,JAFFNA,MULLIYAN PMCU,MO,1
166,KALMUNAI,ANNAMALAI DH,MO,1
167,KALMUNAI,DEEGAWAPIYA DH,MO,1
168,KALMUNAI,IRAKKAMAM ERAGAMA DH,MO,1
171,KALMUNAI,HOSPITAL,MO BLOOD BANK,1
172,KALMUNAI,HOSPITAL,SHO SURGERY,1
179,KALMUNAI,THIRUKKOVIL BH,MO,2
180,KALMUNAI,ULLAI PMCU,MO,1
184,KALUTARA,MOLKAWA PMCU,MO,1
187,KALUTARA,YATTAPATHA PMCU,MO,1
188,KANDY,AAMBAGAHAPELESSA DH,MO,1
189,KANDY,BATUMULLA DH,MO,1
197,KANDY,MEEMURE PMCU,MO,1
199,KANDY,MORAHENA DH,MO 3,1
207,KANDY,WESTHALL DH,MO,1
226,KILINOCHCHI,POONAKERY POONARYN DH,MO menENs,1
241,KURUNEGALA,PAHALAGIRIBAWA DH,MO,1
242,KURUNEGALA,RAJANGANAYA DH,MO,1
243,KURUNEGALA,USGALA SIYABALANGAMUWA PMCU,MO,1
244,MANNAR,ERUKALAMPIDDY DH,MO,1
257,MANNAR,MURUNKAN BH,MO,1
258,MANNAR,PERIYAMADHU PMCU,MO,1
259,MANNAR,THALAIMANNAR DH,MO,1
260,MANNAR,THARAPURAM PMCU,MO,1
261,MANNAR,VANKALAI DH,MO,1
262,MANNAR,VIDATHALTIVU DH,MO,1
263,MATALE,ALUTHWEWA PMCU,MO,1
266,MATALE,HATTOTA AMUNA DH,MO,1
268,MATALE,MARAKA DH,MO,1
272,MATALE,OPALGALA PMCU,MO,1
276,MATARA,DERANGALA PMCU,MO,1
283,MATARA,ROTAMBA PMCU,MO,1
290,MONERAGALA,HAMBEGAMUWA DH,MO.,1
291,MONERAGALA,INGINIYAGALA DH,MO,1
293,MONERAGALA,KOTIYAGALA PMCU,MO,1
300,MULLAITIVU,ALAMPIL DH,MO,1
301,MULLAITIVU,MALLAVI BH,MO,2
302,MULLAITIVU,MALLAVI BH,MO DIALYSIS,1
303,MULLAITIVU,MALLAVI BH,MO OPD/ETU,1
315,MULLAITIVU,NADDANKANDAL DH,MO.,1
316,MULLAITIVU,ODDUSUDDAN DH,MO,1
317,MULLAITIVU,PUTHUKKUDYIRUPPU BH,MO,1
318,MULLAITIVU,THUNUKKAI PMCU,MO SOE,1
319,MULLAITIVU,WELIOYA MOH,AMOH,1
320,NUWARA ELIYA,AGARAPATHANA DH,MO,2
321,NUWARA ELIYA,DAYAGAMA WEST DH,MO,1
324,NUWARA ELIYA,GONAPITIYA DH,MO,1
325,NUWARA ELIYA,KALAGANWATTA PMCU,MO,1
328,NUWARA ELIYA,MULOYA DH,MO,1
329,NUWARA ELIYA,NORTH MEDAKUMBURA DH,MO,1
339,NUWARA ELIYA,RUPAHA PMCU,MO,1
340,NUWARA ELIYA,UPCOT PMCU,MO,1
373,RATNAPURA,[ALUPOLA DH,Mo,1
386,RATNAPURA,NARISSA PMCU,Mo,1
387,RATNAPURA,PALAMKOTTE DH,Mo,1
388,RATNAPURA,POTHUPITIYA DH,Mo,1
396,TRINCOMALEE,GOMARANKADAWELA DH,Mo,1
401,TRINCOMALEE,KILIVETTY OH,Mo,1
404,TRINCOMALEE,MANALCHENAI PMCU,Mo,1
408,TRINCOMALEE,PADAVISIRIPURA DH,MO DIALYSIS,1
410,TRINCOMALEE,SAMPOOR DH,MO,1
411,TRINCOMALEE,SERUWILA DH,MO,4
421,VAVUNIYA,NEDUNKERNY DH,MO,1
