SN,PROVINCE,RDHS,STATION
1,CENTRAL,KANDY,AMBAGAHAPELESSA DH
2,CENTRAL,KANDY,BATUMULLA DH
3,CENTRAL,KANDY,DELTOTA SISILA MENTAL REHABILITATION CENTRE
4,CENTRAL,KANDY,DOLOSBAGE DH
5,CENTRAL,KANDY,MAKULDENIYA RANGALA PMCU
6,CENTRAL,KANDY,MEEMURE PMCU
7,CENTRAL,KANDY,MORAHENA DH
8,CENTRAL,KANDY,PANWILATENNA DH
9,CENTRAL,KANDY,WESTHALL DH
10,CENTRAL,MATALE,ALUTHWEWA PMCU
11,CENTRAL,MATALE,GAMMADUWA DH
12,CENTRAL,MATALE,HANDUNGAMUWA DH
13,CENTRAL,MATALE,HATTOTA AMUNA DH
14,CENTRAL,MATALE,ILLUKKUMBURA DH
15,CENTRAL,MATALE,MARAKA DH
16,CENTRAL,MATALE,OPALGALA PMCU
17,CENTRAL,MATALE,WEWALAWEWA PMCU
18,CENTRAL,NUWARAELIYA,AGARAPATHANA DH
19,CENTRAL,NUWARAELIYA,AMBEWELA PMCU
20,CENTRAL,NUWARAELIYA,DAYAGAMA WEST DH
21,CENTRAL,NUWARAELIYA,FROTOFT PMCU
22,CENTRAL,NUWARAELIYA,GONAPITIYA DH
23,CENTRAL,NUWARAELIYA,HANGARAPITIYA PMCU
24,CENTRAL,NUWARAELIYA,HIGH FOREST DH
25,CENTRAL,NUWARAELIYA,KALAGANWATTA PMCU
26,CENTRAL,NUWARAELIYA,KETABULA KOTIMALE PMCU
27,CENTRAL,NUWARAELIYA,KURUPANAWELA PMCU
28,CENTRAL,NUWARAELIYA,LAXAPANA DH
29,CENTRAL,NUWARAELIYA,MADULLA DH
30,CENTRAL,NUWARAELIYA,MALDENIYA DH
31,CENTRAL,NUWARAELIYA,MANAKOLA PMCU
32,CENTRAL,NUWARAELIYA,MANDARAMNUWARA DH
33,CENTRAL,NUWARAELIYA,MULOYA DH
34,CENTRAL,NUWARAELIYA,NORTH MEDAKUMBURA DH
35,CENTRAL,NUWARAELIYA,RUPAHA PMCU
36,CENTRAL,NUWARAELIYA,THERIPAHA DH
37,CENTRAL,NUWARAELIYA,UPCOT PMCU
38,CENTRAL,NUWARAELIYA,VIDULIPURA NORTONBRIDGE PMCU
39,CENTRAL,NUWARAELIYA,WIJEBAHUKANDA PMCU
40,CENTRAL,NUWARAELIYA,KEERTHIBANDARAPURA PMCU
41,EASTERN,AMPARA,AMBAGAHAWELLA PMCU
42,EASTERN,AMPARA,BOKKEBEDDA PMCU
43,EASTERN,AMPARA,DAMANA DH
44,EASTERN,AMPARA,DAMANA MOH
45,EASTERN,AMPARA,GONAGALA PMCU
46,EASTERN,AMPARA,HIMIDURAWA PMCU
47,EASTERN,AMPARA,KOKNAHARA PMCU
48,EASTERN,AMPARA,KOLOMANTHALAWA PMCU
49,EASTERN,AMPARA,LAHUGALA DH
50,EASTERN,AMPARA,LAHUGALA MOH
51,EASTERN,AMPARA,LIHINIYAGAMA PMCU
52,EASTERN,AMPARA,MADAWALALANDA PMCU
53,EASTERN,AMPARA,MAWANAWELA PMCU
54,EASTERN,AMPARA,MUWANGALA PMCU
55,EASTERN,AMPARA,NAMALOYA PMCU
56,EASTERN,AMPARA,NAWAMADAGAMA PMCU
57,EASTERN,AMPARA,PANAMA DH
58,EASTERN,AMPARA,PANNALGAMA PMCU
59,EASTERN,AMPARA,PARAGAHAKALE PMCU
60,EASTERN,AMPARA,SADUNPURA PMCU
61,EASTERN,AMPARA,SENARATHPURA DH
62,EASTERN,AMPARA,TAMPITIYA PMCU
63,EASTERN,AMPARA,THOTTAMA DH
64,EASTERN,AMPARA,WADINAGALA DH
65,EASTERN,AMPARA,WEERAGODA PMCU
66,EASTERN,BATTICALOA,KARADIYANARU DH
67,EASTERN,BATTICALOA,KATHIRAVELY DH
68,EASTERN,BATTICALOA,KAWATTAMUNAI PMCU
69,EASTERN,BATTICALOA,KIRAN MOH
70,EASTERN,BATTICALOA,MAHILAVEDDUVAN PMCU
71,EASTERN,BATTICALOA,MAHILOOR PMCU
72,EASTERN,BATTICALOA,MANDAPATHADY DH
73,EASTERN,BATTICALOA,MANDUR DH
74,EASTERN,BATTICALOA,MANGALAGAMA PMCU
75,EASTERN,BATTICALOA,MANKERNEY PMCU
76,EASTERN,BATTICALOA,NAWALKADU DH
77,EASTERN,BATTICALOA,PADDIPALLAI MOH
78,EASTERN,BATTICALOA,PALAYADIVADDAI PMCU
79,EASTERN,BATTICALOA,PALUGAMAM DH
80,EASTERN,BATTICALOA,PANCHENAI PMCU
81,EASTERN,BATTICALOA,PERIYAPULLUMAI PMCU
82,EASTERN,BATTICALOA,RETHITHANAI PMCU
83,EASTERN,BATTICALOA,THIKKODAI PMCU
84,EASTERN,BATTICALOA,THURAINEELAVANAI DH
85,EASTERN,BATTICALOA,UNNICHCHI PMCU
86,EASTERN,BATTICALOA,VAKARAI DH
87,EASTERN,BATTICALOA,VAKARAI MOH
88,EASTERN,BATTICALOA,VAVUNATIVU MOH
89,EASTERN,BATTICALOA,VELLAVELLY MOH
90,EASTERN,KALMUNAI,ALAMKULAM PMCU
91,EASTERN,KALMUNAI,ANNAMALAI DH
92,EASTERN,KALMUNAI,CHENAIKUDIRUPPU PMCU
93,EASTERN,KALMUNAI,DEEGAWAPIYA DH
94,EASTERN,KALMUNAI,IRAKKAMAM ERAGAMA DH
95,EASTERN,KALMUNAI,IRAKKAMAM MOH
96,EASTERN,KALMUNAI,KALMUNAI CENTRAL CAMP DH
97,EASTERN,KALMUNAI,KALMUNAI RDHS (ONLY MO RELEIF POST)
98,EASTERN,KALMUNAI,KOMARI PMCU & MH
99,EASTERN,KALMUNAI,MALWATTA PMCU & MH
100,EASTERN,KALMUNAI,MUHAMATHIYAPURAM PMCU
101,EASTERN,KALMUNAI,NAVITHANVELI MOH
102,EASTERN,KALMUNAI,OLUVIL DH
103,EASTERN,KALMUNAI,PANANKADU DH
104,EASTERN,KALMUNAI,PERIYANEELAWANAI PMCU
105,EASTERN,KALMUNAI,SENNELKIRAMAM DH
106,EASTERN,KALMUNAI,SORIKALMUNAI PMCU
107,EASTERN,KALMUNAI,THIRUKKOVIL BH
108,EASTERN,KALMUNAI,ULLAI PMCU
109,EASTERN,TRINCOMALEE,BATTUKACHCHIYA PMCU
110,EASTERN,TRINCOMALEE,CHENAIYOOR PMCU
111,EASTERN,TRINCOMALEE,EACHCHILAMPATHTHU DH
112,EASTERN,TRINCOMALEE,EACHCHILAMPATHTHU MOH
113,EASTERN,TRINCOMALEE,GANTALAWA PMCU
114,EASTERN,TRINCOMALEE,GOMARANKADAWELA DH
115,EASTERN,TRINCOMALEE,GOMARANKADAWELA MOH
116,EASTERN,TRINCOMALEE,KAPPALTHURAI PMCU
117,EASTERN,TRINCOMALEE,KILIVETTY DH
118,EASTERN,TRINCOMALEE,MAHADIVULWEWA DH
119,EASTERN,TRINCOMALEE,MANALCHENAI PMCU
120,EASTERN,TRINCOMALEE,MORAWEWA PMCU
121,EASTERN,TRINCOMALEE,NADUOOTH PMCU
122,EASTERN,TRINCOMALEE,PADAVISIRIPURA DH
123,EASTERN,TRINCOMALEE,PADAVISRIPURA MOH
124,EASTERN,TRINCOMALEE,PATTALIPURAM PMCU
125,EASTERN,TRINCOMALEE,SAMPOOR DH
126,EASTERN,TRINCOMALEE,SERUWILA DH
127,EASTERN,TRINCOMALEE,THAMPALAGAMAM DH
128,EASTERN,TRINCOMALEE,THAMPALAGAMAM MOH
129,EASTERN,TRINCOMALEE,THIRIYAI PMCU
130,EASTERN,TRINCOMALEE,THOPPUR DH
131,EASTERN,TRINCOMALEE,WAN ELA DH
132,NORTH CENTRA,ANURADHAPURA,ANDIYAGALA DH
133,NORTH CENTRA,ANURADHAPURA,ETHAKADA PMCU
134,NORTH CENTRA,ANURADHAPURA,KAPUGOLLEWA DH
135,NORTH CENTRA,ANURADHAPURA,KATIYAWA DH
136,NORTH CENTRA,ANURADHAPURA,KOONWEWA PMCU
137,NORTH CENTRA,ANURADHAPURA,LABUNORUWA PMCU
138,NORTH CENTRA,ANURADHAPURA,MAHASENPURA PMCU
139,NORTH CENTRA,ANURADHAPURA,MAHAWILACHCHIYA DH
140,NORTH CENTRA,ANURADHAPURA,MAHAWILACHCHIYA MOH
141,NORTH CENTRA,ANURADHAPURA,NEGAMPAHA DH
142,NORTH CENTRA,ANURADHAPURA,PADAVI PARAKRAMAPURA PMCU
143,NORTH CENTRA,ANURADHAPURA,RATMALGAHAWEWA DH
144,NORTH CENTRA,ANURADHAPURA,THANTIRIMALE DH
145,NORTH CENTRA,ANURADHAPURA,TITTAGONEWA PMCU
146,NORTH CENTRA,ANURADHAPURA,WAHALKADA DH
147,NORTH CENTRA,POLONNARUWA,ASELAPURA PMCU
148,NORTH CENTRA,POLONNARUWA,BOGASWEWA ( MEDAGAMA) PMCU
149,NORTH CENTRA,POLONNARUWA,ELLEWEWA PMCU
150,NORTH CENTRA,POLONNARUWA,GALOYA JUNCTION PMCU
151,NORTH CENTRA,POLONNARUWA,HATHARESKOTUWA PMCU
152,NORTH CENTRA,POLONNARUWA,KAKULAWELA PMCU
153,NORTH CENTRA,POLONNARUWA,KANDAKADU PMCU
154,NORTH CENTRA,POLONNARUWA,MEEGASWEWA PMCU
155,NORTH CENTRA,POLONNARUWA,SINGHAPURA PMCU
156,NORTH WESTER,KURUNEGALA,ATARAGALLA DH
157,NORTH WESTER,KURUNEGALA,DELWITA DH
158,NORTH WESTER,KURUNEGALA,EHETUWEWA DH
159,NORTH WESTER,KURUNEGALA,EHETUWEWA MOH
160,NORTH WESTER,KURUNEGALA,KADIGAWA PMCU
161,NORTH WESTER,KURUNEGALA,KALEGAMA PMCU
162,NORTH WESTER,KURUNEGALA,MEEGALEWA DH
163,NORTH WESTER,KURUNEGALA,NETIYA PMCU
164,NORTH WESTER,KURUNEGALA,PAHALAGIRIBAWA DH
165,NORTH WESTER,KURUNEGALA,POTHUVILA PMCU
166,NORTH WESTER,KURUNEGALA,RAJANGANAYA DH
