INDEX,DISTRICT,INSTITUTE,DESIGNATION,VACANCIES,ESTIMATED_TRAVEL_TIME_HOURS,IS_DH,DESIG_GROUP
386,RATNAPURA,NARISSA PMCU,Mo,1,1.1,NO,MO
187,KALUTARA,YATTAPATHA PMCU,MO,1,1.3,NO,MO
184,KALUTARA,MOLKAWA PMCU,MO,1,1.5,NO,MO
117,GALLE,HALVITIGALA PMCU,MO,1,2.2,NO,MO
388,RATNAPURA,POTHUPITIYA DH,Mo,1,2.2,YES,MO
207,KANDY,WESTHALL DH,MO,1,2.6,YES,MO
276,MATARA,DERANGALA PMCU,MO,1,2.6,NO,MO
283,MATARA,ROTAMBA PMCU,MO,1,2.6,NO,MO
126,HAMBANTOTA,BERALIHERA PMCU,Mo,1,3.0,NO,MO
387,RATNAPURA,PALAMKOTTE DH,Mo,1,3.0,YES,MO
119,GALLE,LANKAGAMA PMCU,MO,1,3.1,NO,MO
320,NUWARA ELIYA,AGARAPATHANA DH,MO,2,3.1,YES,MO
340,NUWARA ELIYA,UPCOT PMCU,MO,1,3.1,NO,MO
373,RATNAPURA,[ALUPOLA DH,Mo,1,3.1,YES,MO
199,KANDY,MORAHENA DH,MO 3,1,3.2,YES,MO
329,NUWARA ELIYA,NORTH MEDAKUMBURA DH,MO,1,3.2,YES,MO
34,ANURADHAPURA,ANDIYAGALA DH,MO,1,3.4,YES,MO
321,NUWARA ELIYA,DAYAGAMA WEST DH,MO,1,3.4,YES,MO
324,NUWARA ELIYA,GONAPITIYA DH,MO,1,3.5,YES,MO
272,MATALE,OPALGALA PMCU,MO,1,3.6,NO,MO
290,MONERAGALA,HAMBEGAMUWA DH,MO.,1,3.6,YES,MO
243,KURUNEGALA,USGALA SIYABALANGAMUWA PMCU,MO,1,3.7,NO,MO
241,KURUNEGALA,PAHALAGIRIBAWA DH,MO,1,3.9,YES,MO
242,KURUNEGALA,RAJANGANAYA DH,MO,1,4.2,YES,MO
266,MATALE,HATTOTA AMUNA DH,MO,1,4.3,YES,MO
325,NUWARA ELIYA,KALAGANWATTA PMCU,MO,1,4.3,NO,MO
339,NUWARA ELIYA,RUPAHA PMCU,MO,1,4.3,NO,MO
328,NUWARA ELIYA,MULOYA DH,MO,1,4.4,YES,MO
57,ANURADHAPURA,THANTIRIMALE DH,MO,1,4.5,YES,MO
263,MATALE,ALUTHWEWA PMCU,MO,1,4.5,NO,MO
188,KANDY,AAMBAGAHAPELESSA DH,MO,1,4.7,YES,MO
189,KANDY,BATUMULLA DH,MO,1,4.8,YES,MO
197,KANDY,MEEMURE PMCU,MO,1,4.8,NO,MO
58,ANURADHAPURA,WAHALKADA DH,MO,1,5.4,YES,MO
268,MATALE,MARAKA DH,MO,1,5.4,YES,MO
401,TRINCOMALEE,KILIVETTY OH,Mo,1,5.4,NO,MO
404,TRINCOMALEE,MANALCHENAI PMCU,Mo,1,5.4,NO,MO
23,AMPARA,LAHUGALA MOH,AMOH,1,5.5,NO,AMOH
31,AMPARA,ISENARATHPURA DH,MO MENTAL HEALTH,1,5.8,YES,MO Mental Health
293,MONERAGALA,KOTIYAGALA PMCU,MO,1,5.8,NO,MO
180,KALMUNAI,ULLAI PMCU,MO,1,5.9,NO,MO
410,TRINCOMALEE,SAMPOOR DH,MO,1,6.0,YES,MO
97,BATTICALOA,MANDUR DH,Mo,1,6.1,YES,MO
411,TRINCOMALEE,SERUWILA DH,MO,4,6.1,YES,MO
291,MONERAGALA,INGINIYAGALA DH,MO,1,6.2,YES,MO
396,TRINCOMALEE,GOMARANKADAWELA DH,Mo,1,6.2,YES,MO
29,AMPARA,PANAMA DH,MO,1,6.3,YES,MO
47,ANURADHAPURA,KUNCHUKULAM PMCU,MO,1,6.3,NO,MO
168,KALMUNAI,IRAKKAMAM ERAGAMA DH,MO,1,6.3,YES,MO
318,MULLAITIVU,THUNUKKAI PMCU,MO SOE,1,6.3,NO,MO (SOE)
30,AMPARA,SENARATHPURA DH,MO,1,6.4,YES,MO
257,MANNAR,MURUNKAN BH,MO,1,6.4,NO,MO
179,KALMUNAI,THIRUKKOVIL BH,MO,2,6.5,NO,MO
167,KALMUNAI,DEEGAWAPIYA DH,MO,1,6.6,YES,MO
421,VAVUNIYA,NEDUNKERNY DH,MO,1,6.6,YES,MO
100,BATTICALOA,NAWALKADU DH,Mo,1,6.7,YES,MO
261,MANNAR,VANKALAI DH,MO,1,6.7,YES,MO
316,MULLAITIVU,ODDUSUDDAN DH,MO,1,6.9,YES,MO
33,AMPARA,WEERAGODA PMCU,MO,1,7.0,NO,MO
151,JAFFNA,KAYTS BH,MO,1,7.0,NO,MO
262,MANNAR,VIDATHALTIVU DH,MO,1,7.0,YES,MO
171,KALMUNAI,HOSPITAL,MO BLOOD BANK,1,7.1,NO,MO Blood Bank
172,KALMUNAI,HOSPITAL,SHO SURGERY,1,7.1,NO,SHO Surgery
260,MANNAR,THARAPURAM PMCU,MO,1,7.1,NO,MO
301,MULLAITIVU,MALLAVI BH,MO,2,7.1,NO,MO
302,MULLAITIVU,MALLAVI BH,MO DIALYSIS,1,7.1,NO,MO Dialysis
303,MULLAITIVU,MALLAVI BH,MO OPD/ETU,1,7.1,NO,MO OPD / ETU
166,KALMUNAI,ANNAMALAI DH,MO,1,7.2,YES,MO
244,MANNAR,ERUKALAMPIDDY DH,MO,1,7.2,YES,MO
408,TRINCOMALEE,PADAVISIRIPURA DH,MO DIALYSIS,1,7.2,YES,MO Dialysis
258,MANNAR,PERIYAMADHU PMCU,MO,1,7.3,NO,MO
32,AMPARA,TAMPITIYA PMCU,MO,1,7.4,NO,MO
94,BATTICALOA,KATHIRAVELY DH,MO.,1,7.4,YES,MO
101,BATTICALOA,PALUGAMAM DH,Mo,1,7.4,YES,MO
