INDEX,DISTRICT,INSTITUTE,DESIGNATION,VACANCIES
1,AMPARA,AMPARA DGH,MO A&E,1
2,AMPARA,AMPARA DGH,MO ANAESTHESIA,2
3,AMPARA,AMPARA DGH,MO ENDOCRINOLOGY,1
4,AMPARA,AMPARA DGH,MO ENT,1
5,AMPARA,AMPARA DGH,MO EYE,1
6,AMPARA,AMPARA DGH,MO MICU,1
7,AMPARA,AMPARA DGH,MO NICU,1
8,AMPARA,AMPARA DGH,MO OPD,1
9,AMPARA,AMPARA DGH,MO RADIOLOGY,1
10,AMPARA,AMPARA DGH,MO RESPIRATORY MEDICINE,1
11,AMPARA,AMPARA DGH,MO RHEUMATOLOGY,1
12,AMPARA,AMPARA DGH,MO SICU,1
13,AMPARA,AMPARA DGH,SHO GYN & OBS,1
14,AMPARA,AMPARA DGH,SHO MEDICINE,1
15,AMPARA,AMPARA DGH,SHO SURGERY,1
16,AMPARA,AMPARA RDHS,. MO MENTAL HEALTH,1
17,AMPARA,DEHIATTAKANDIYA BH,MO ANAESTHESIA/ICU,1
18,AMPARA,DEHIATTAKANDIYA BH,MO BLOOD BANK,1
19,AMPARA,DEHIATTAKANDIYA BH,MO GYN & OBS,2
20,AMPARA,DEHIATTAKANDIYA BH,MO MEDICINE,2
21,AMPARA,DEHIATTAKANDIYA BH,MO MENTAL HEALTH,1
22,AMPARA,DEHIATTAKANDIYA BH,MO SURGERY,2
23,AMPARA,LAHUGALA MOH,AMOH,1
24,AMPARA,MAHAOYA BH,MO GYN & OBS,1
25,AMPARA,MAHAOYA BH,MO MEDICINE,1
26,AMPARA,MAHAOYA BH,MO OPD/ETU,1
27,AMPARA,MAHAOYA BH,MO SURGERY,1
28,AMPARA,PADIYATALAWA DH,MO,1
29,AMPARA,PANAMA DH,MO,1
30,AMPARA,SENARATHPURA DH,MO,1
31,AMPARA,ISENARATHPURA DH,MO MENTAL HEALTH,1
32,AMPARA,TAMPITIYA PMCU,MO,1
33,AMPARA,WEERAGODA PMCU,MO,1
